ID,1000
MACC-12---,,,ACCOUNTING 12,,,,,N,,,N,,,,,,,4.0000
MENFP12---,,,ENGLISH FIRST PEOPLES 12,,,,,N,,,N,,,,,,,4.0000
MFOOD12---,,,FOOD STUDIES 12,,,,,N,,,N,,,,,,,4.0000
MMACS12---,,,COMPUTER SCIENCE 12,,,,,N,,,N,,,,,,,4.0000
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4.0000
MSTX-2A---,,,SKILLS EXPLORATION 12A,,,,,N,,,N,,,,,,,4.0000
YCPA-2AX-L,,,COMMUNITY LEADERSHIP 12 Linear,,,,,N,,,N,,,,,,,4.0000
YED--2FX-L,,,SCHOLARSHIP PREPARATION 12 LINEAR,,,,,N,,,N,,,,,,,4.0000
YPSYC1AX--,,,PSYCHOLOGY 11,,,,,N,,,N,,,,,,,4.0000
ID,1006
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MACC-12---,,,ACCOUNTING 12,,,,,N,,,N,,,,,,,4.0000
MACLV12---,,,ACTIVE LIVING 12,,,,,N,,,N,,,,,,,4.0000
MECOM12---,,,E-COMMERCE 12,,,,,N,,,N,,,,,,,4.0000
MENFP12---,,,ENGLISH FIRST PEOPLES 12,,,,,N,,,N,,,,,,,4.0000
MFOOD12---,,,FOOD STUDIES 12,,,,,N,,,N,,,,,,,4.0000
MMEDD12---,,,MEDIA DESIGN 12,,,,,N,,,N,,,,,,,4.0000
MPREC12---,,,PRE-CALCULUS 12,,,,,N,,,N,,,,,,,4.0000
MTAUT12---,,,AUTOMOTIVE TECHNOLOGY 12,,,,,N,,,N,,,,,,,4.0000
YCPA-2AX-L,,,COMMUNITY LEADERSHIP 12 Linear,,,,,N,,,N,,,,,,,4.0000
YCPA-2AXE-,,,COMMUNITY LEADERSHIP 12,,,,,N,,,N,,,,,,,4.0000
YED--2FX-L,,,SCHOLARSHIP PREPARATION 12 LINEAR,,,,,N,,,N,,,,,,,4.0000
ID,1007
Course,,,,Description,,,Recommended,,,Alternate,,,,Alternate Courses,,,,Credit
MADEM10---,,,ADST ? ENTREPRENEURSHIP AND MARKETING 10,,,,,N,,,Y,,,,,,,4.0000
MADFS09---,,,ADST - Food Studies 9,,,,,N,,,N,,,,,,,0.0000
MADIT09---,,,ADST-Information and Communications Technologies 9,,,,,N,,,N,,,,,,,0.0000
MDNC-09M-L,,,DANCE 9 Company: Platform 61 Linear,,,,,N,,,N,,,,,,,0.0000
MEN--09---,,,ENGLISH LANGUAGE ARTS 9,,,,,N,,,N,,,,,,,0.0000
MMA--09H--,,,MATHEMATICS 9 HONOURS,,,,,N,,,N,,,,,,,0.0000
