Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
MCTWR11---,,CREATIVE WRITING 11,English,,N,,2,1,24,2.00,,20,,3,,,,Y
MDCF-10---,,DANCE FOUNDATIONS 10,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDCF-11---,,DANCE FOUNDATIONS 11,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDCF-12---,,DANCE FOUNDATIONS 12,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDCOM11C--,,COMPUTER STUDIES 11,Information Tech,,N,,2,1,24,2.00,,50,,1,,,,Y
MDMD-12D--,,3D ANIMATION 12,Information Tech,,N,,2,1,24,2.00,,50,,1,,,,Y
MDNC-09C-L,,DANCE 9 Choreography Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNC-09F--,,DANCE 9 Foundations,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDNC-09H--,,DANCE 9 HIP HOP,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDNC-09M-L,,DANCE 9 Company: Platform 61 Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNC-09PT-,,DANCE 9 Performance and Technique,Fine Arts,,N,,2,1,29,2.00,,10,,1,,,,Y
MDNC-10--L,,DANCE 10: CHOREOGRAPHY Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNC-11--L,,DANCE 11: CHOREOGRAPHY Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNC-12--L,,DANCE 12: CHOREOGRAPHY Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNCM10--L,,DANCE COMPANY 10 Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNCM11--L,,DANCE COMPANY 11 Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
MDNCM12--L,,DANCE COMPANY 12 Linear,Fine Arts,,N,,1,1,29,2.00,,50,,1,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 4,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MDNCN11---,,DANCE CONDITIONING 11,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDNCN12---,,DANCE CONDITIONING 12,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDNTP10---,,DANCE TECHNIQUE AND PERFORMANCE 10,Fine Arts,,N,,2,1,29,2.00,,10,,1,,,,Y
MDNTP11---,,DANCE TECHNIQUE AND PERFORMANCE 11,Fine Arts,,N,,2,1,29,2.00,,10,,1,,,,Y
MDNTP12---,,DANCE TECHNIQUE AND PERFORMANCE 12,Fine Arts,,N,,2,1,29,2.00,,10,,1,,,,Y
MDR--09---,,DRAMA 9,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDRM-10---,,DRAMA 10,Fine Arts,,N,,2,1,29,2.00,,35,,1,,,,Y
MDRM-11---,,DRAMA 11,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MDRM-12---,,DRAMA 12,Fine Arts,,N,,2,1,29,2.00,,50,,1,,,,Y
MEC--12---,,ECONOMICS 12,Business Education,,N,,0,1,0,0.00,,0,,0,,,,Y
MECOM12---,,E-COMMERCE 12,Applied Skills,,N,,2,1,29,2.00,,50,,1,,,,Y
MEN--09---,,ENGLISH LANGUAGE ARTS 9,English,,N,,2,1,24,2.00,,20,,6,,,,Y
MEN--09A--,,ENGLISH LANGUAGE ARTS 9 ADAPTED,English,,N,,4,1,15,1.00,,10,,1,,,,Y
MEN--09C--,,ENGLISH LANGUAGE ARTS 9 CHALLENGE,English,,N,,2,1,24,2.00,,10,,2,,,,Y
MEN--09E--,,ENGLISH 9 FOR ELL,English,,N,,2,1,24,,,10,,1,,,,Y
MENFP12---,,ENGLISH FIRST PEOPLES 12,English,,N,,2,1,24,2.00,,20,,1,,,,Y
MENFP12--Y,,ENGLISH FIRST PEOPLES 12 Year,English,,N,,2,1,24,,,20,,1,,,,Y
MENFP12C--,,ENGLISH FIRST PEOPLES 12 CHALLENGE,English,,N,,2,1,24,0.00,,20,,1,,,,Y
MENST12---,,ENGLISH STUDIES 12,English,,N,,2,1,24,2.00,,20,,9,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 5,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MENST12--Y,,ENGLISH STUDIES 12 Year Long,English,,N,,2,1,24,2.00,,10,,4,,,,Y
MENST12C--,,ENGLISH STUDIES 12 CHALLENGE,English,,N,,2,1,24,2.00,,10,,1,,,,Y
MENT-12---,,ENTREPRENEURSHIP 12,Business Education,,N,,2,1,29,2.00,,50,,3,,,,Y
MEPSS11---,,EXPLORATIONS IN SOCIAL STUDIES 11,Social Studies,,N,,2,1,24,2.00,,20,,5,,,,Y
MEPSS11C--,,EXPLORATIONS IN SOCIAL STUDIES 11 CHALLENGE,Social Studies,,N,,2,1,24,2.00,,20,,2,,,,Y
MEVSC11---,,ENVIRONMENTAL SCIENCE 11,Science,,N,,2,1,23,2.00,,35,,2,,,,Y
MEVSC12C--,,ENVIRONMENTAL SCIENCE 12 - CLIMATE CHANGE,Science,,N,,2,1,23,2.00,,35,,2,,,,Y
MFMP-10---,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10,Mathematics,,N,,2,1,29,2.00,,20,,5,,,,Y
MFMP-10C--,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 CHALLENGE,Mathematics,,N,,2,1,29,2.00,,20,,2,,,,Y
MFMP-10H--,,FOUNDATIONS OF MATH AND PRE-CALCULUS 10 HONOURS,Mathematics,,N,,2,1,29,2.00,,10,,1,,,,Y
MFOM-11---,,FOUNDATIONS OF MATHEMATICS 11,Mathematics,,N,,2,1,29,2.00,,10,,2,,,,Y
MFOOD10---,,ADST ?  FOOD STUDIES 10,Applied Skills,,N,,2,1,23,2.00,,50,,3,,,,Y
MFOOD11---,,FOOD STUDIES 11,Applied Skills,,N,,2,1,23,2.00,,50,,4,,,,Y
MFOOD12---,,FOOD STUDIES 12,Applied Skills,,N,,2,1,23,2.00,,50,,4,,,,Y
MFR--09---,,FRENCH 9,Modern Languages,,N,,2,1,29,2.00,,15,,2,,,,Y
MFR--10---,,FRENCH 10,Modern Languages,,N,,2,1,29,2.00,,15,,1,,,,Y
MFR--11---,,FRENCH 11,Modern Languages,,N,,2,1,29,2.00,,15,,3,,,,Y
MFR--12---,,FRENCH 12,Modern Languages,,N,,2,1,29,2.00,,15,,2,,,,Y
MFTCD11---,,FITNESS AND CONDITIONING 11,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
Greater Victoria,,,,,,,,,,,,,Mount Douglas Secondary,,,,,
,,,,,,Course Schedule Attributes,,,,,,,,,,,,
Page 6,,,,,,,,,,,,,,,,"April 17, 2023",,
,#,Course,Department,Substitute,,,Base Terms/Year,Covered Terms/Year,Max Enrollment,PPC,Priority,,,Sections,Content Terms,,Include,
MFTCD12---,,FITNESS AND CONDITIONING 12,Physical Education,,N,,2,1,29,2.00,,50,,1,,,,Y
MGMT-12L--,,GEOMETRY 12,Mathematics,,N,,1,1,29,1.00,,20,,1,,,,Y
MGRPR11--L,,GRAPHIC PRODUCTION 11 LINEAR,Applied Skills,,N,,1,1,50,2.00,,50,,1,,,,Y
